img_num,time,intensity,avg_baseline,scaled,filename,condition,PYO,objective,resolution,bleach,id
114,26.3127,126.556,127.3667778,0.993634307,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
115,26.4884,125.362,127.3667778,0.984259806,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
116,26.6642,125.892,127.3667778,0.988421017,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
117,26.8558,126.21,127.3667778,0.990917743,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
118,27.0633,125.805,127.3667778,0.98773795,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
119,27.2708,125.898,127.3667778,0.988468125,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
120,27.4783,125.98,127.3667778,0.989111935,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
121,27.6859,126.173,127.3667778,0.990627244,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
122,27.8934,125.662,127.3667778,0.986615208,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
123,28.085,125.308,127.3667778,0.983835834,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
124,28.2766,125.057,127.3667778,0.981865147,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
125,28.4683,125.895,127.3667778,0.988444571,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
126,28.6599,126.016,127.3667778,0.989394583,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
127,28.8515,125.176,127.3667778,0.982799457,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
128,29.0431,125.56,127.3667778,0.985814372,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
129,29.2348,125.64,127.3667778,0.986442479,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
130,29.4264,125.67,127.3667778,0.986678019,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
131,29.6021,125.986,127.3667778,0.989159043,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
132,29.7779,126.245,127.3667778,0.99119254,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
133,29.9536,124.739,127.3667778,0.979368421,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
134,30.1611,125.821,127.3667778,0.987863572,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
135,30.3687,125.252,127.3667778,0.983396159,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
136,30.5762,125.687,127.3667778,0.986811492,1percentAgarose_300uMPYO_10x_128px_bleach20x5sp_id_15,1percentAgarose,300uMPYO,10x,128px,bleach20x5sp,15
