# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.345,1.10E-07,wm,TRUE,TRUE
-0.344,1.08E-07,wm,TRUE,TRUE
-0.343,1.06E-07,wm,TRUE,TRUE
-0.342,1.04E-07,wm,TRUE,TRUE
-0.341,1.01E-07,wm,TRUE,TRUE
-0.34,9.91E-08,wm,TRUE,TRUE
-0.339,9.69E-08,wm,TRUE,TRUE
-0.338,9.48E-08,wm,TRUE,TRUE
-0.337,9.27E-08,wm,TRUE,TRUE
-0.336,9.06E-08,wm,TRUE,TRUE
-0.335,8.86E-08,wm,TRUE,TRUE
-0.334,8.66E-08,wm,TRUE,TRUE
-0.333,8.45E-08,wm,TRUE,TRUE
-0.332,8.26E-08,wm,TRUE,TRUE
-0.331,8.07E-08,wm,TRUE,TRUE
-0.33,7.87E-08,wm,TRUE,TRUE
-0.329,7.69E-08,wm,TRUE,TRUE
-0.328,7.50E-08,wm,TRUE,TRUE
-0.327,7.32E-08,wm,TRUE,TRUE
-0.326,7.14E-08,wm,TRUE,TRUE
-0.325,6.96E-08,wm,TRUE,TRUE
-0.324,6.79E-08,wm,TRUE,TRUE
-0.323,6.61E-08,wm,TRUE,TRUE
-0.322,6.45E-08,wm,TRUE,TRUE
